"Date","Open","High","Low","Close","Volume"
"2022-02-01",46.209999,50.110001,42.049999,44.200001,941748700
"2022-03-01",43.709999,44.630001,38.169998,41.220001,1312818500
"2022-04-01",41.689999,41.740002,35.540001,35.680000,1032209900
"2022-05-01",36.029999,38.750000,32.959999,37.200001,1107801400
"2022-06-01",37.459999,37.470001,30.639999,31.129999,996294300
"2022-07-01",30.980000,33.980000,29.670000,33.810001,814208000
"2022-08-01",33.619999,36.939999,33.000000,33.610001,819363100
"2022-09-01",33.340000,35.630001,30.170000,30.200001,860183900
"2022-10-01",30.590000,36.369999,29.309999,36.040001,980931500
"2022-11-01",36.439999,38.599998,35.410000,37.849998,700345500
"2022-12-01",37.500000,37.689999,31.350000,33.119999,893060200
