"Date","Open","High","Low","Close","Volume"
"2022-01-01",21.270000,25.870001,18.799999,20.299999,2907578400
"2022-02-01",20.610001,21.049999,15.960000,17.559999,1826127200
"2022-03-01",17.410000,18.250000,15.510000,16.910000,1749488000
"2022-04-01",17.010000,17.150000,13.900000,14.160000,1341531000
"2022-05-01",14.020000,15.000000,12.070000,13.680000,1360048800
"2022-06-01",13.880000,13.970000,10.900000,11.130000,1143688600
"2022-07-01",11.100000,14.790000,10.610000,14.690000,1247603800
"2022-08-01",14.660000,16.680000,14.550000,15.240000,1455634600
"2022-09-01",15.100000,15.740000,11.190000,11.200000,1620561600
"2022-10-01",11.380000,13.510000,11.130000,13.370000,1433553600
"2022-11-01",13.570000,14.670000,12.770000,13.900000,1037714100
"2022-12-01",14.090000,14.360000,10.900000,11.630000,1116350600
