"Date","Open","High","Low","Close","Volume"
"2022-01-03",45.090000,49.310001,44.980000,49.180000,302109700
"2022-01-10",49.910000,50.080002,47.189999,47.910000,267962700
"2022-01-17",47.849998,48.580002,44.660000,44.919998,267898100
"2022-01-24",43.900002,46.750000,42.590000,45.869999,342414500
"2022-01-31",45.520000,48.689999,45.220001,48.279999,222422900
"2022-02-07",48.560001,50.110001,47.500000,47.919998,236385200
"2022-02-14",48.020000,48.369999,45.720001,45.959999,211153000
"2022-02-21",45.169998,46.110001,42.049999,45.020000,246626000
"2022-02-28",43.720001,44.259998,40.320000,40.950001,339992100
"2022-03-07",39.930000,41.610001,38.169998,40.330002,357291700
"2022-03-14",40.900002,43.049999,40.869999,42.900002,279866100
"2022-03-21",43.349998,44.630001,42.509998,43.730000,217335200
"2022-03-28",43.709999,44.389999,40.349998,40.900002,250217900
"2022-04-04",40.480000,41.139999,38.849998,39.669998,255307100
"2022-04-11",39.480000,40.400002,37.419998,37.570000,201570200
"2022-04-18",37.419998,40.369999,37.220001,37.560001,277514500
"2022-04-25",36.889999,37.540001,35.540001,35.680000,235888900
"2022-05-02",36.029999,38.750000,35.400002,37.450001,252739200
"2022-05-09",36.869999,37.130001,34.259998,35.169998,276796000
"2022-05-16",35.000000,36.220001,32.959999,33.860001,238518200
"2022-05-23",34.759998,37.049999,34.660000,37.020000,268138800
"2022-05-30",36.820000,37.529999,36.070000,36.189999,167424200
"2022-06-06",36.700001,37.209999,33.020000,33.169998,201874000
"2022-06-13",32.389999,32.770000,30.860001,31.920000,303940200
"2022-06-20",32.889999,33.290001,31.230000,32.310001,215439000
"2022-06-27",32.419998,33.500000,30.629999,31.559999,219462200
"2022-07-04",30.799999,32.250000,30.450001,31.790001,154637200
"2022-07-11",31.549999,32.630001,29.670000,32.250000,242502100
"2022-07-18",33.080002,33.939999,32.099998,33.430000,197132100
"2022-07-25",33.779999,33.980000,32.900002,33.810001,179700500
"2022-08-01",33.619999,34.330002,33.000000,33.959999,164565600
"2022-08-08",34.169998,36.310001,33.410000,36.299999,217309500
"2022-08-15",35.840000,36.939999,35.310001,35.480000,143527500
"2022-08-22",34.750000,35.480000,34.020000,34.029999,165917000
"2022-08-29",33.860001,34.480000,32.660000,33.430000,204893200
"2022-09-05",33.639999,35.250000,32.610001,34.939999,163161900
"2022-09-12",35.200001,35.630001,33.540001,34.119999,202643100
"2022-09-19",33.720001,34.869999,31.209999,31.730000,217884500
"2022-09-26",31.320000,31.820000,30.170000,30.200001,199644700
"2022-10-03",30.590000,32.520000,30.200001,30.750000,203338000
"2022-10-10",30.900000,32.630001,29.309999,31.700001,257710500
"2022-10-17",33.360001,35.360001,32.869999,34.950001,308394000
"2022-10-24",35.110001,36.369999,34.529999,36.180000,178923500
"2022-10-31",36.000000,37.279999,35.410000,36.790001,189275200
"2022-11-07",37.009998,38.599998,36.389999,38.410000,181753900
"2022-11-14",38.090000,38.299999,36.560001,37.189999,161168700
"2022-11-21",37.090000,37.869999,37.060001,37.700001,86488200
"2022-11-28",37.400002,37.849998,35.810001,36.080002,202733500
"2022-12-05",35.810001,35.889999,32.080002,32.380001,287183000
"2022-12-12",32.310001,33.669998,31.350000,31.700001,255507600
"2022-12-19",31.760000,32.869999,31.730000,32.470001,158092200
"2022-12-26",32.500000,33.299999,32.279999,33.119999,103768900
